LATITUDE,LONGITUDE,ELEVATION,TMAX
43.5556,-118.4042,1670.3,36.6
44.4044,-123.7533,70.1,45.5
42.4722,-119.1783,1493.5,44.2
42.2547,-118.9792,1548.4,41.4
43.78,-110.93,2822.4,28.1
40.3983,-122.8333,579.1,52.1
34.005,-118.4139,28,66.1
40.7586,-120.8961,1889.8,42.5
41.39748,-110.08837,2157.7,26.3
38.2553,-110.18,2011.7,32.5
43.6806,-122.3019,1028.1,50.4
40.2841,-109.8611,1539.8,27.3
40.28,-111.61,2369.5,34.8
46.6667,-115.1667,834.2,32.8
44.03,-120.4,1731.3,39.4
44.79,-112.06,2377.4,29.4
36.7044,-112.5833,1609.3,47.3
46.5023,-116.3216,303.3,41.4
47.9804,-116.5594,636.1,37
33.0736,-116.8458,466.3,63
44.4183,-123.3253,93.9,48.7
45.3333,-110.2167,1737.4,41
45.56,-118.45,1158.2,40.8
42.21,-121.13,1490.5,43.4
34.1471,-116.2747,781.2,57.6
39.7569,-114.1658,2190,40.8
46.48,-110.71,2316.5,31.5
44.47,-112.98,2697.5,33.7
36.73751,-118.96197,2005.6,42.6
48.7141,-121.143,271.6,41.1
45.9917,-121.0833,1158.2,37.3
47.1556,-121.6114,640.1,44.6
47.8751,-114.0331,887,36.8
33.0763,-116.5925,1284.7,53.1
32.9897,-116.5872,1414.3,51.6
42.3497,-116.69,1493.5,41
45.89,-110.94,2231.1,34.4
47.2422,-121.1869,661.4,37.8
47.5,-112.9,1630.7,36.7
41.99,-120.18,2243.3,36.9
47.53,-115.78,1295.4,35.6
38.9036,-114.8142,2225,39.7
45.3013,-121.7416,1213.1,39.3
39.56,-115.84,2448.5,37
46.3522,-122.6058,762,45.4
38.4305,-122.8647,61,60
43.9663,-112.2641,1460,28.7
48.1578,-124.315,609.6,42.3
45.8081,-120.8428,499.9,40.6
39.4572,-118.7811,1208.5,49.9
34.6108,-111.1922,2097,43.1
39.2041,-121.068,731.5,54.2
36.7878,-118.6561,1438.7,53.1
42.79866,-112.80359,1374.6,34.8
44.375,-114.5667,1953.8,37.1
48.6333,-115.5833,1310.6,32.9
45.6194,-121.1661,71.6,43.5
48.79389,-122.53722,45.4,49.1
48.6756,-116.3361,536.4,36.4
40.8097,-124.1602,6.1,57.1
31.7806,-110.6347,1417.3,60.3
44.25,-118.52,1789.2,37.8
43.9064,-123.3794,589.8,45.1
39.32,-114.62,2773.7,33.3
