LATITUDE,LONGITUDE,ELEVATION,TMAX
43.5556,-118.4042,1670.3,36.6
44.7978,-68.8185,45.1,28.4
40.3983,-122.8333,579.1,52.1
39.2975,-87.9746,189,37.6
44.03,-120.4,1731.3,39.4
41.8558,-87.6094,177.7,29.1
39.7569,-114.1658,2190,40.8
29.1417,-95.2917,3,64.1
41.99056,-93.61889,291.1,27.6
34.9818,-92.0064,91.4,52.7
37.155,-98.0282,414.5,44.5
47.5,-112.9,1630.7,36.7
42.1003,-78.7497,457.2,30
46.8608,-94.7258,432.8,15
43.5861,-83.1805,212.8,26.9
46.1825,-103.4061,908.3,28.2
42.27984,-77.76564,586.4,29.6
39.8775,-98.3036,503.2,35.9
44.375,-114.5667,1953.8,37.1
48.6756,-116.3361,536.4,36.4
42.12083,-87.90472,193.9,29.1
37.2486,-89.3783,213.4,40.5
35.0964,-119.7728,759,58.9
44.21138,-85.40865,415.4,23.3
33.6195,-94.0994,97.5,52.7
34.8117,-83.125,487.7,50
32,-109.35,1645.9,56.4
37.2907,-75.927,8.8,47.6
34.5964,-112.0481,1554.5,53
45.24,-109.46,1792.2,43.9
36.21395,-81.64563,944.9,40
46.35,-123.1,883.9,43.2
48.6703,-94.6172,339.2,13.1
41.3075,-122.7958,955.9,48.3
32.9736,-115.1736,84.7,70
43.8933,-85.8506,253.6,26.1
45.21,-117.19,2255.5,34.4
41.77806,-80.69583,281.6,32.8
35.6819,-85.2733,542.5,45.7
42.87,-122.17,1831.8,39.6
40.3008,-112.7764,1219.2,39.1
42.73,-106.32,2407.9,28
32.3335,-104.258,985.1,59
30.8078,-81.4596,7.6,63.1
40.16667,-103.21667,1421.3,43.8
44.72683,-97.02859,514.8,17.8
36.9092,-119.0883,528.8,55.6
39.29,-117.11,2650.2,37.8
45.36,-118.47,1380.7,39.6
37.75,-77.4833,67.1,46.5
42.73303,-110.92168,1904.4,25.4
42.5038,-89.0311,237.7,22.4
36.4108,-118.8092,1966,48.3
34.20056,-118.3575,225.9,65.2
34.4619,-93.9983,365.8,47.6
37.3711,-118.358,1250.3,56.1
37.70639,-112.14556,2312.2,34.6
32.8516,-86.6115,178,55.1
44.72,-110.51,2398.8,27.5
44.32,-70.7568,240.8,26.3
47.04,-121.94,1271,43.2
41.24,-120.79,1886.7,41.6
42.425,-103.7358,1325.3,43.2
44.03279,-88.14683,256,22.6
45.8326,-109.9511,1249.7,41.4
35.9495,-79.2386,160,50.6
44.96,-111.29,2743.2,27.9
38.1211,-81.1179,395,40.1
33.8417,-109.1222,2447.8,45.8
36.8224,-79.4104,198.4,46.7
35.8306,-91.7944,174,45
41.4619,-84.5272,222.5,30.5
45.19,-119.25,1758.7,36.6
36.065,-87.2831,215.2,47
40.5208,-98.0536,545,35.3
42.3861,-72.5374,44.2,32.5
40.97806,-124.10861,61,58.6
34.1847,-118.7172,502.9,61.4
37.956,-86.1162,187.5,41.3
40.6944,-99.7008,719.9,36
34.3317,-118.0303,1661.2,53
41.5239,-112.0436,1289.3,35.1
34.2103,-116.6339,1828.8,49
41.4539,-102.785,1267.4,43.6
32.7397,-114.8839,66.1,69.6
36.9431,-92.65,399.6,43.3
30.1742,-97.2564,116.7,60.6
30.9856,-101.1578,780.9,57.7
45.45531,-98.41413,396.5,18.9
47.0036,-114.4781,932.7,33.4
38.0667,-75.2014,3.7,45.9
33.97528,-117.63611,198.1,67.8
